Type,Reference,Description
Enums,Excel.RibbonTab,"Represents a tab on the Excel ribbon interface, where custom commands can be added."
Enums,Excel.RowHiddenChangeType,"Indicates the type of change to the visibility of rows, such as hidden or unhidden."
Enums,Excel.SaveBehavior,Specifies the save behavior for Workbook.save.
Enums,Excel.SearchDirection,Specifies the search direction.
Enums,Excel.ShapeAutoSize,Determines the type of automatic sizing allowed.
Enums,Excel.ShapeFillType,Specifies a shape's fill type.
Enums,Excel.ShapeFontUnderlineStyle,The type of underline applied to a font.
Enums,Excel.ShapeLineDashStyle,The dash style for a line.
Enums,Excel.ShapeLineStyle,The style for a line.
Enums,Excel.ShapeScaleFrom,Specifies which part of the shape retains its position when the shape is scaled.
Enums,Excel.ShapeScaleType,Specifies whether the shape is scaled relative to its original or current size.
Enums,Excel.ShapeTextHorizontalAlignment,Specifies the horizontal alignment for the text frame in a shape.
Enums,Excel.ShapeTextHorizontalOverflow,Specifies the horizontal overflow for the text frame in a shape.
Enums,Excel.ShapeTextOrientation,Specifies the orientation for the text frame in a shape.
Enums,Excel.ShapeTextReadingOrder,Specifies the reading order for the text frame in a shape.
Enums,Excel.ShapeTextVerticalAlignment,Specifies the vertical alignment for the text frame in a shape.
Enums,Excel.ShapeTextVerticalOverflow,Specifies the vertical overflow for the text frame in a shape.
Enums,Excel.ShapeType,Specifies the type of a shape.
Enums,Excel.ShapeZOrder,Specifies where in the z-order a shape should be moved relative to other shapes.
Enums,Excel.SheetVisibility,"Specifies the visibility of a worksheet, such as visible, hidden, or very hidden."
Enums,Excel.ShowAsCalculation,The ShowAs calculation function for the DataPivotField.
Enums,Excel.SlicerSortType,Specifies the slicer sort behavior for Slicer.sortBy.
Enums,Excel.SortBy,Represents the sort direction.
Enums,Excel.SortDataOption,"Represents options for sorting data, such as case sensitivity or ignoring diacritics."
Enums,Excel.SortMethod,Represents the ordering method to be used when sorting Chinese characters.
Enums,Excel.SortOn,Represents the part of the cell used as the sorting criteria.
Enums,Excel.SortOrientation,"Defines the orientation of sorting, such as sorting by rows or by columns."
Enums,Excel.SpecialCellType,"Specifies special types of cells, such as blanks, constants, or formulas."
Enums,Excel.SpecialCellValueType,"Represents specific types of cell values, such as text, numbers, or errors."
Enums,Excel.SpillErrorCellValueSubType,Represents types of #SPILL! errors.
Enums,Excel.SubtotalLocationType,"Specifies where subtotals are displayed, such as at the top or bottom of a group."
Enums,Excel.TimeoutErrorCellValueSubType,Represents types of #TIMEOUT! errors.
Enums,Excel.TopBottomSelectionType,"A simple enum for top/bottom filters to select whether to filter by the top N or bottom N percent, number, or sum of values."
Enums,Excel.ValueErrorCellValueSubType,Represents types of #VALUE! errors.
Enums,Excel.ValueFilterCondition,Enum representing all accepted conditions by which a value filter can be applied. Used to configure the type of PivotFilter that is applied to the field. PivotFilter.exclusive can be set to true to invert many of these conditions.
Enums,Excel.VerticalAlignment,"Specifies the vertical alignment of content in a cell, such as top, middle, or bottom."
Enums,Excel.WorkbookLinksRefreshMode,Represents the refresh mode of the workbook links.
Enums,Excel.WorksheetPositionType,The position of a worksheet relative to another worksheet or the entire worksheet collection.
Type Aliases,Excel.CardLayout,Represents the layout of a card in card view.
Type Aliases,Excel.CardLayoutSection,Represents the layout of a section of a card in card view.
Type Aliases,Excel.CellValue,Represents the value in a cell.
Type Aliases,Excel.CellValueAndPropertyMetadata,"Represents the value and metadata of a property. The metadata applies to the property (and not the value), but it is combined with the value in this type."
Type Aliases,Excel.CompactLayout,Represents the layout used when there is limited space to represent the entity.
Type Aliases,Excel.EntityPropertyType,Represents the value of a property.
Type Aliases,Excel.ErrorCellValue,Represents a cell value which contains an error.
Type Aliases,Excel.ReferencedValue,Represents the value in a cell.
Interfaces,Excel.Interfaces.HeaderFooterGroupLoadOptions,"Represents the options for loading properties of a HeaderFooterGroup object, allowing specific properties to be retrieved."
Interfaces,Excel.Interfaces.HeaderFooterLoadOptions,"Represents the options for loading properties of a HeaderFooter object, enabling selective property retrieval."
Interfaces,Excel.Interfaces.PageBreakCollectionLoadOptions,"Represents the options for loading properties of a PageBreakCollection object, allowing selective data loading."
Interfaces,Excel.Interfaces.PageBreakLoadOptions,"Represents the options for loading properties of a PageBreak object, enabling selective loading of page break details."
Interfaces,Excel.Interfaces.RangeCollectionLoadOptions,"Represents the options for loading properties of a RangeCollection object, allowing specific range properties to be loaded."
Interfaces,Excel.RunOptions,"Represents options for customizing the behavior of the Excel.run function, such as timeout settings or context."
Interfaces,Excel.Session,"Represents a session in Excel, which can be used to maintain context and settings across multiple API calls."
Interfaces,Excel.ShowAsRule,"Represents a rule that specifies how a PivotTable value should be displayed, such as showing values as a percentage of the total."
Interfaces,Excel.AllowEditRangeOptions,The interface used to construct optional fields of the AllowEditRange object.
Interfaces,Excel.ArrayCellValue,Represents a 2D array of cell values.
Interfaces,Excel.Base64EncodedImage,The base64 encoding type and data of an image.
Interfaces,Excel.BasicDataValidation,Represents the basic type data validation criteria.
Interfaces,Excel.BindingDataChangedEventArgs,Provides information about the binding that raised the data changed event.
Interfaces,Excel.BindingSelectionChangedEventArgs,Provides information about the selection that raised the selection changed event.
Interfaces,Excel.BlockedErrorCellValue,Represents the value of a cell containing a #BLOCKED! error.
Interfaces,Excel.BooleanCellValue,Represents the value of a cell containing a boolean.
Interfaces,Excel.BusyErrorCellValue,Represents the value of a cell containing a #BUSY! error.
Interfaces,Excel.CalcErrorCellValue,Represents the value of a cell containing a #CALC! error.
Interfaces,Excel.CardLayoutListSection,Represents a section of a card that is arranged as a list in card view.
Interfaces,Excel.CardLayoutPropertyReference,Represents a reference to a property used by the card layout.
Interfaces,Excel.CardLayoutSectionStandardProperties,Properties of a card layout relevant to most card layouts.
Interfaces,Excel.CardLayoutStandardProperties,Properties of a card layout relevant to most card layouts.
Interfaces,Excel.CardLayoutTableSection,Represents a section of a card that is arranged as a table in card view.
Interfaces,Excel.CellBorder,"Represents the properties of a single border returned by getCellProperties, getRowProperties, and getColumnProperties, or the border property input parameter of setCellProperties, setRowProperties, and setColumnProperties."
Interfaces,Excel.CellBorderCollection,"Represents the format.borders properties of getCellProperties, getRowProperties, and getColumnProperties, or the format.borders input parameter of setCellProperties, setRowProperties, and setColumnProperties."
Interfaces,Excel.CellProperties,Represents the returned properties of getCellProperties.
Interfaces,Excel.CellPropertiesBorderLoadOptions,Specifies which properties to load on the format.borders object.
Interfaces,Excel.CellPropertiesFill,"Represents the format.fill properties of getCellProperties, getRowProperties, and getColumnProperties or the format.fill input parameter of setCellProperties, setRowProperties, and setColumnProperties."
Interfaces,Excel.CellPropertiesFillLoadOptions,Specifies which properties to load on the format.fill object.
Interfaces,Excel.CellPropertiesFont,"Represents the format.font properties of getCellProperties, getRowProperties, and getColumnProperties, or the format.font input parameter of setCellProperties, setRowProperties, and setColumnProperties."
Interfaces,Excel.CellPropertiesFontLoadOptions,Specifies which properties to load on the format.font object.
Interfaces,Excel.CellPropertiesFormat,Represents the returned format properties of getCellProperties or format input parameter of setCellProperties.
Interfaces,Excel.CellPropertiesFormatLoadOptions,Represents which properties to load on the format object.
Interfaces,Excel.CellPropertiesLoadOptions,"Represents which cell properties to load, when used as part of a ""range.getCellProperties"" method."
Interfaces,Excel.CellPropertiesProtection,"Represents the format.protection properties of getCellProperties, getRowProperties, and getColumnProperties, or the format.protection input parameter of setCellProperties, setRowProperties, and setColumnProperties."
Interfaces,Excel.CellValueAttributionAttributes,"The attribution attributes object represents the set of details that can be used to describe where information came from, if the information comes from a public source."
Interfaces,Excel.CellValueExtraProperties,"These extra properties may appear on a CellValue and provide information about that CellValue, but the extra properties are not part of the value in the cell."
Interfaces,Excel.CellValuePropertyMetadata,Metadata about a property in EntityCellValue.properties.
Interfaces,Excel.CellValuePropertyMetadataExclusions,Represents the exclusion of a property in EntityCellValue.properties from features of Excel.
Interfaces,Excel.CellValueProviderAttributes,The provider attributes object represents the set of details used in card view to provide specified branding information for a CellValue type that supports provider attributes.
Interfaces,Excel.ChangedEventDetail,Provides information about the details of a WorksheetChangedEvent or TableChangedEvent.
Interfaces,Excel.ChangeDirectionState,Represents the direction that existing or remaining cells in a worksheet will shift when cells are inserted into or deleted from a worksheet.
Interfaces,Excel.ChartActivatedEventArgs,Provides information about the chart that raised the activated event.
Interfaces,Excel.ChartAddedEventArgs,Provides information about the chart that raised the added event.
Interfaces,Excel.ChartDeactivatedEventArgs,Provides information about the chart that raised the deactivated event.
Interfaces,Excel.ChartDeletedEventArgs,Provides information about the chart that raised the deleted event.
Interfaces,Excel.ColumnProperties,Represents the returned properties of getColumnProperties.
Interfaces,Excel.ColumnPropertiesLoadOptions,"Represents which column properties to load, when used as part of a ""range.getColumnProperties"" method."
Interfaces,Excel.CommentAddedEventArgs,Provides information about the comments that raised the comment added event.
Interfaces,Excel.CommentChangedEventArgs,Occurs when existing comments are changed.
Interfaces,Excel.CommentDeletedEventArgs,Provides information about the comments that raised the comment deleted event.
Interfaces,Excel.CommentDetail,A structure for the comment ID and IDs of its related replies.
Interfaces,Excel.CommentMention,Represents the entity that is mentioned in comments.
Interfaces,Excel.CommentRichContent,"Represents the content contained within a comment or comment reply. Rich content incudes the text string and any other objects contained within the comment body, such as mentions."
Interfaces,Excel.ConditionalCellValueRule,Represents a cell value conditional format rule.
Interfaces,Excel.ConditionalColorScaleCriteria,Represents the criteria of the color scale.
Interfaces,Excel.ConditionalColorScaleCriterion,"Represents a color scale criterion which contains a type, value, and a color."
Interfaces,Excel.ConditionalDataBarRule,Represents a rule-type for a data bar.
Interfaces,Excel.ConditionalIconCriterion,"Represents an icon criterion which contains a type, value, an operator, and an optional custom icon, if not using an icon set."
Interfaces,Excel.ConditionalPresetCriteriaRule,Represents the preset criteria conditional format rule.
Interfaces,Excel.ConditionalTextComparisonRule,Represents a cell value conditional format rule.
Interfaces,Excel.ConditionalTopBottomRule,Represents the rule of the top/bottom conditional format.
Interfaces,Excel.ConnectErrorCellValue,Represents the value of a cell containing a #CONNECT! error.
Interfaces,Excel.CustomDataValidation,Represents the custom data validation criteria.
Interfaces,Excel.DataValidationErrorAlert,Represents the error alert properties for the data validation.
Interfaces,Excel.DataValidationPrompt,Represents the user prompt properties for the data validation.
Interfaces,Excel.DataValidationRule,A data validation rule contains different types of data validation. You can only use one of them at a time according the Excel.DataValidationType.
Interfaces,Excel.DateTimeDataValidation,Represents the date data validation criteria.
Interfaces,Excel.Div0ErrorCellValue,Represents the value of a cell containing a #DIV/0! error.
Interfaces,Excel.DocumentTaskSchedule,Represents information about a task's schedule.
Interfaces,Excel.DoubleCellValue,Represents the value of a cell containing a double.
Interfaces,Excel.EmailIdentity,Represents information about a user's identity.
Interfaces,Excel.EmptyCellValue,Represents the value of a cell that's empty and has no formulas or data.
Interfaces,Excel.EntityArrayCardLayout,Represents a card layout that is best used for an array.
Interfaces,Excel.EntityCardLayout,Represents a card layout that is best used for an array.
Interfaces,Excel.EntityCellValue,Represents a set of properties without a schema or defined structure.
Interfaces,Excel.EntityCompactLayout,The compact layout properties for an entity.
Interfaces,Excel.EntityPropertyExtraProperties,Properties used by CellValueAndPropertyMetadata. These properties refer to the metadata and not to a CellValue.
Interfaces,Excel.EntityViewLayouts,Represents layout information for various views of the entity.
Interfaces,Excel.ExternalCodeServiceObjectCellValue,"Represents the value of a cell containing an External Code Service Object, such as Python code formula."
Interfaces,Excel.ExternalErrorCellValue,Represents the value of a cell containing an #EXTERNAL! error.
Interfaces,Excel.FieldErrorCellValue,Represents the value of a cell containing a #FIELD! error.
Interfaces,Excel.FilterCriteria,Represents the filtering criteria applied to a column.
Interfaces,Excel.FilterDatetime,Represents how to filter a date when filtering on values.
Interfaces,Excel.FormattedNumberCellValue,"Represents the value of a cell containing a number with a format string. Number format strings must conform to Excel guidelines. To learn more, see Review guidelines for customizing a number format. In this scenario, the format is applied to the value and not to the cell, so the value retains its format string throughout calculation."
Interfaces,Excel.FormulaChangedEventDetail,Provides information about a changed formula during a formula changed event.
Interfaces,Excel.GettingDataErrorCellValue,Represents the value of a cell containing a #GETTING_DATA error.
Interfaces,Excel.Icon,Represents a cell icon.
Interfaces,Excel.Identity,Represents information about a user's identity.
Interfaces,Excel.InsertWorksheetOptions,The options that define which worksheets to insert and where in the workbook the new worksheets will be inserted.
Interfaces,Excel.Interfaces.AllowEditRangeCollectionData,An interface describing the data returned by calling allowEditRangeCollection.toJSON().
Interfaces,Excel.Interfaces.AllowEditRangeCollectionLoadOptions,"Represents the set of AllowEditRange objects found in a worksheet. AllowEditRange objects work with worksheet protection properties. When worksheet protection is enabled, an AllowEditRange object can be used to allow editing of a specific range, while maintaining protection on the rest of the worksheet."
Interfaces,Excel.Interfaces.AllowEditRangeCollectionUpdateData,"An interface for updating data on the AllowEditRangeCollection object, for use in allowEditRangeCollection.set({ ... })."
Interfaces,Excel.Interfaces.AllowEditRangeData,An interface describing the data returned by calling allowEditRange.toJSON().
Interfaces,Excel.Interfaces.AllowEditRangeLoadOptions,"Represents an AllowEditRange object found in a worksheet. This object works with worksheet protection properties. When worksheet protection is enabled, an AllowEditRange object can be used to allow editing of a specific range, while maintaining protection on the rest of the worksheet."
Interfaces,Excel.Interfaces.AllowEditRangeUpdateData,"An interface for updating data on the AllowEditRange object, for use in allowEditRange.set({ ... })."
Interfaces,Excel.Interfaces.ApplicationData,An interface describing the data returned by calling application.toJSON().
Interfaces,Excel.Interfaces.ApplicationLoadOptions,Represents the Excel application that manages the workbook.
Interfaces,Excel.Interfaces.ApplicationUpdateData,"An interface for updating data on the Application object, for use in application.set({ ... })."
Interfaces,Excel.Interfaces.AutoFilterData,An interface describing the data returned by calling autoFilter.toJSON().
Interfaces,Excel.Interfaces.AutoFilterLoadOptions,Represents the AutoFilter object. AutoFilter turns the values in Excel column into specific filters based on the cell contents.
Interfaces,Excel.Interfaces.BindingCollectionData,An interface describing the data returned by calling bindingCollection.toJSON().
Interfaces,Excel.Interfaces.BindingCollectionLoadOptions,Represents the collection of all the binding objects that are part of the workbook.
Interfaces,Excel.Interfaces.BindingCollectionUpdateData,"An interface for updating data on the BindingCollection object, for use in bindingCollection.set({ ... })."
Interfaces,Excel.Interfaces.BindingData,An interface describing the data returned by calling binding.toJSON().
Interfaces,Excel.Interfaces.BindingLoadOptions,Represents an Office.js binding that is defined in the workbook.
Interfaces,Excel.Interfaces.CellValueConditionalFormatData,An interface describing the data returned by calling cellValueConditionalFormat.toJSON().
Interfaces,Excel.Interfaces.CellValueConditionalFormatLoadOptions,Represents a cell value conditional format.
Interfaces,Excel.Interfaces.CellValueConditionalFormatUpdateData,"An interface for updating data on the CellValueConditionalFormat object, for use in cellValueConditionalFormat.set({ ... })."
Interfaces,Excel.Interfaces.ChartAreaFormatData,An interface describing the data returned by calling chartAreaFormat.toJSON().
Interfaces,Excel.Interfaces.ChartAreaFormatLoadOptions,Encapsulates the format properties for the overall chart area.
Interfaces,Excel.Interfaces.ChartAreaFormatUpdateData,"An interface for updating data on the ChartAreaFormat object, for use in chartAreaFormat.set({ ... })."
Interfaces,Excel.Interfaces.ChartAxesData,An interface describing the data returned by calling chartAxes.toJSON().
Interfaces,Excel.Interfaces.ChartAxesLoadOptions,Represents the chart axes.
Interfaces,Excel.Interfaces.ChartAxesUpdateData,"An interface for updating data on the ChartAxes object, for use in chartAxes.set({ ... })."
Interfaces,Excel.Interfaces.ChartAxisData,An interface describing the data returned by calling chartAxis.toJSON().
Interfaces,Excel.Interfaces.ChartAxisFormatData,An interface describing the data returned by calling chartAxisFormat.toJSON().
Interfaces,Excel.Interfaces.ChartAxisFormatLoadOptions,Encapsulates the format properties for the chart axis.
Interfaces,Excel.Interfaces.ChartAxisFormatUpdateData,"An interface for updating data on the ChartAxisFormat object, for use in chartAxisFormat.set({ ... })."
Interfaces,Excel.Interfaces.ChartAxisLoadOptions,Represents a single axis in a chart.
Interfaces,Excel.Interfaces.ChartAxisTitleData,An interface describing the data returned by calling chartAxisTitle.toJSON().
Interfaces,Excel.Interfaces.ChartAxisTitleFormatData,An interface describing the data returned by calling chartAxisTitleFormat.toJSON().
Interfaces,Excel.Interfaces.ChartAxisTitleFormatLoadOptions,Represents the chart axis title formatting.
Interfaces,Excel.Interfaces.ChartAxisTitleFormatUpdateData,"An interface for updating data on the ChartAxisTitleFormat object, for use in chartAxisTitleFormat.set({ ... })."
Interfaces,Excel.Interfaces.ChartAxisTitleLoadOptions,Represents the title of a chart axis.
Interfaces,Excel.Interfaces.ChartAxisTitleUpdateData,"An interface for updating data on the ChartAxisTitle object, for use in chartAxisTitle.set({ ... })."
Interfaces,Excel.Interfaces.ChartAxisUpdateData,"An interface for updating data on the ChartAxis object, for use in chartAxis.set({ ... })."
Interfaces,Excel.Interfaces.ChartBinOptionsData,An interface describing the data returned by calling chartBinOptions.toJSON().
Interfaces,Excel.Interfaces.ChartBinOptionsLoadOptions,Encapsulates the bin options for histogram charts and pareto charts.
Interfaces,Excel.Interfaces.ChartBinOptionsUpdateData,"An interface for updating data on the ChartBinOptions object, for use in chartBinOptions.set({ ... })."
Interfaces,Excel.Interfaces.ChartBorderData,An interface describing the data returned by calling chartBorder.toJSON().
Interfaces,Excel.Interfaces.ChartBorderLoadOptions,Represents the border formatting of a chart element.
Interfaces,Excel.Interfaces.ChartBorderUpdateData,"An interface for updating data on the ChartBorder object, for use in chartBorder.set({ ... })."
Interfaces,Excel.Interfaces.ChartBoxwhiskerOptionsData,An interface describing the data returned by calling chartBoxwhiskerOptions.toJSON().
Interfaces,Excel.Interfaces.ChartBoxwhiskerOptionsLoadOptions,Represents the properties of a box and whisker chart.
Interfaces,Excel.Interfaces.ChartBoxwhiskerOptionsUpdateData,"An interface for updating data on the ChartBoxwhiskerOptions object, for use in chartBoxwhiskerOptions.set({ ... })."
Interfaces,Excel.Interfaces.ChartCollectionData,An interface describing the data returned by calling chartCollection.toJSON().
Interfaces,Excel.Interfaces.ChartCollectionLoadOptions,A collection of all the chart objects on a worksheet.
Interfaces,Excel.Interfaces.ChartCollectionUpdateData,"An interface for updating data on the ChartCollection object, for use in chartCollection.set({ ... })."
Interfaces,Excel.Interfaces.ChartData,An interface describing the data returned by calling chart.toJSON().
Interfaces,Excel.Interfaces.ChartDataLabelData,An interface describing the data returned by calling chartDataLabel.toJSON().
Interfaces,Excel.Interfaces.ChartDataLabelFormatData,An interface describing the data returned by calling chartDataLabelFormat.toJSON().
Interfaces,Excel.Interfaces.ChartDataLabelFormatLoadOptions,Encapsulates the format properties for the chart data labels.
Interfaces,Excel.Interfaces.ChartDataLabelFormatUpdateData,"An interface for updating data on the ChartDataLabelFormat object, for use in chartDataLabelFormat.set({ ... })."
Interfaces,Excel.Interfaces.ChartDataLabelLoadOptions,Represents the data label of a chart point.
Interfaces,Excel.Interfaces.ChartDataLabelsData,An interface describing the data returned by calling chartDataLabels.toJSON().
Interfaces,Excel.Interfaces.ChartDataLabelsLoadOptions,Represents a collection of all the data labels on a chart point.
Interfaces,Excel.Interfaces.ChartDataLabelsUpdateData,"An interface for updating data on the ChartDataLabels object, for use in chartDataLabels.set({ ... })."
Interfaces,Excel.Interfaces.ChartDataLabelUpdateData,"An interface for updating data on the ChartDataLabel object, for use in chartDataLabel.set({ ... })."
Interfaces,Excel.Interfaces.ChartDataTableData,An interface describing the data returned by calling chartDataTable.toJSON().
Interfaces,Excel.Interfaces.ChartDataTableFormatData,An interface describing the data returned by calling chartDataTableFormat.toJSON().
Interfaces,Excel.Interfaces.ChartDataTableFormatLoadOptions,Represents the format of a chart data table.
Interfaces,Excel.Interfaces.ChartDataTableFormatUpdateData,"An interface for updating data on the ChartDataTableFormat object, for use in chartDataTableFormat.set({ ... })."
Interfaces,Excel.Interfaces.ChartDataTableLoadOptions,Represents the data table object of a chart.
Interfaces,Excel.Interfaces.ChartDataTableUpdateData,"An interface for updating data on the ChartDataTable object, for use in chartDataTable.set({ ... })."
Interfaces,Excel.Interfaces.ChartErrorBarsData,An interface describing the data returned by calling chartErrorBars.toJSON().
Interfaces,Excel.Interfaces.ChartErrorBarsFormatData,An interface describing the data returned by calling chartErrorBarsFormat.toJSON().
Interfaces,Excel.Interfaces.ChartErrorBarsFormatLoadOptions,Encapsulates the format properties for chart error bars.
Interfaces,Excel.Interfaces.ChartErrorBarsFormatUpdateData,"An interface for updating data on the ChartErrorBarsFormat object, for use in chartErrorBarsFormat.set({ ... })."
Interfaces,Excel.Interfaces.ChartErrorBarsLoadOptions,This object represents the attributes for a chart's error bars.
Interfaces,Excel.Interfaces.ChartErrorBarsUpdateData,"An interface for updating data on the ChartErrorBars object, for use in chartErrorBars.set({ ... })."
Interfaces,Excel.Interfaces.ChartFontData,An interface describing the data returned by calling chartFont.toJSON().
Interfaces,Excel.Interfaces.ChartFontLoadOptions,"This object represents the font attributes (such as font name, font size, and color) for a chart object."
Interfaces,Excel.Interfaces.ChartFontUpdateData,"An interface for updating data on the ChartFont object, for use in chartFont.set({ ... })."
Interfaces,Excel.Interfaces.ChartFormatStringData,An interface describing the data returned by calling chartFormatString.toJSON().
Interfaces,Excel.Interfaces.ChartFormatStringLoadOptions,"Represents the substring in chart related objects that contain text, like a ChartTitle object or ChartAxisTitle object."
Interfaces,Excel.Interfaces.ChartFormatStringUpdateData,"An interface for updating data on the ChartFormatString object, for use in chartFormatString.set({ ... })."
Interfaces,Excel.Interfaces.ChartGridlinesData,An interface describing the data returned by calling chartGridlines.toJSON().
Interfaces,Excel.Interfaces.ChartGridlinesFormatData,An interface describing the data returned by calling chartGridlinesFormat.toJSON().
Interfaces,Excel.Interfaces.ChartGridlinesFormatLoadOptions,Encapsulates the format properties for chart gridlines.
Interfaces,Excel.Interfaces.ChartGridlinesFormatUpdateData,"An interface for updating data on the ChartGridlinesFormat object, for use in chartGridlinesFormat.set({ ... })."
Interfaces,Excel.Interfaces.ChartGridlinesLoadOptions,Represents major or minor gridlines on a chart axis.
Interfaces,Excel.Interfaces.ChartGridlinesUpdateData,"An interface for updating data on the ChartGridlines object, for use in chartGridlines.set({ ... })."
Interfaces,Excel.Interfaces.ChartLegendData,An interface describing the data returned by calling chartLegend.toJSON().
Interfaces,Excel.Interfaces.ChartLegendEntryCollectionData,An interface describing the data returned by calling chartLegendEntryCollection.toJSON().
Interfaces,Excel.Interfaces.ChartLegendEntryCollectionLoadOptions,Represents a collection of legend entries.
Interfaces,Excel.Interfaces.ChartLegendEntryCollectionUpdateData,"An interface for updating data on the ChartLegendEntryCollection object, for use in chartLegendEntryCollection.set({ ... })."
Interfaces,Excel.Interfaces.ChartLegendEntryData,An interface describing the data returned by calling chartLegendEntry.toJSON().
Interfaces,Excel.Interfaces.ChartLegendEntryLoadOptions,Represents the legend entry in legendEntryCollection.
Interfaces,Excel.Interfaces.ChartLegendEntryUpdateData,"An interface for updating data on the ChartLegendEntry object, for use in chartLegendEntry.set({ ... })."
Interfaces,Excel.Interfaces.ChartLegendFormatData,An interface describing the data returned by calling chartLegendFormat.toJSON().
Interfaces,Excel.Interfaces.ChartLegendFormatLoadOptions,Encapsulates the format properties of a chart legend.
Interfaces,Excel.Interfaces.ChartLegendFormatUpdateData,"An interface for updating data on the ChartLegendFormat object, for use in chartLegendFormat.set({ ... })."
Interfaces,Excel.Interfaces.ChartLegendLoadOptions,Represents the legend in a chart.
Interfaces,Excel.Interfaces.ChartLegendUpdateData,"An interface for updating data on the ChartLegend object, for use in chartLegend.set({ ... })."
Interfaces,Excel.Interfaces.ChartLineFormatData,An interface describing the data returned by calling chartLineFormat.toJSON().
Interfaces,Excel.Interfaces.ChartLineFormatLoadOptions,Encapsulates the formatting options for line elements.
Interfaces,Excel.Interfaces.ChartLineFormatUpdateData,"An interface for updating data on the ChartLineFormat object, for use in chartLineFormat.set({ ... })."
Interfaces,Excel.Interfaces.ChartLoadOptions,"Represents a chart object in a workbook. To learn more about the chart object model, see Work with charts using the Excel JavaScript API."
Interfaces,Excel.Interfaces.ChartMapOptionsData,An interface describing the data returned by calling chartMapOptions.toJSON().
Interfaces,Excel.Interfaces.ChartMapOptionsLoadOptions,Encapsulates the properties for a region map chart.
Interfaces,Excel.Interfaces.ChartMapOptionsUpdateData,"An interface for updating data on the ChartMapOptions object, for use in chartMapOptions.set({ ... })."
Interfaces,Excel.Interfaces.ChartPivotOptionsData,An interface describing the data returned by calling chartPivotOptions.toJSON().
Interfaces,Excel.Interfaces.ChartPivotOptionsLoadOptions,Encapsulates the options for the pivot chart.
Interfaces,Excel.Interfaces.ChartPivotOptionsUpdateData,"An interface for updating data on the ChartPivotOptions object, for use in chartPivotOptions.set({ ... })."
Interfaces,Excel.Interfaces.ChartPlotAreaData,An interface describing the data returned by calling chartPlotArea.toJSON().
Interfaces,Excel.Interfaces.ChartPlotAreaFormatData,An interface describing the data returned by calling chartPlotAreaFormat.toJSON().
Interfaces,Excel.Interfaces.ChartPlotAreaFormatLoadOptions,Represents the format properties for a chart plot area.
Interfaces,Excel.Interfaces.ChartPlotAreaFormatUpdateData,"An interface for updating data on the ChartPlotAreaFormat object, for use in chartPlotAreaFormat.set({ ... })."
Interfaces,Excel.Interfaces.ChartPlotAreaLoadOptions,This object represents the attributes for a chart plot area.
Interfaces,Excel.Interfaces.ChartPlotAreaUpdateData,"An interface for updating data on the ChartPlotArea object, for use in chartPlotArea.set({ ... })."
Interfaces,Excel.Interfaces.ChartPointData,An interface describing the data returned by calling chartPoint.toJSON().
Interfaces,Excel.Interfaces.ChartPointFormatData,An interface describing the data returned by calling chartPointFormat.toJSON().
Interfaces,Excel.Interfaces.ChartPointFormatLoadOptions,Represents the formatting object for chart points.
Interfaces,Excel.Interfaces.ChartPointFormatUpdateData,"An interface for updating data on the ChartPointFormat object, for use in chartPointFormat.set({ ... })."
Interfaces,Excel.Interfaces.ChartPointLoadOptions,Represents a point of a series in a chart.
Interfaces,Excel.Interfaces.ChartPointsCollectionData,An interface describing the data returned by calling chartPointsCollection.toJSON().
Interfaces,Excel.Interfaces.ChartPointsCollectionLoadOptions,A collection of all the chart points within a series inside a chart.
Interfaces,Excel.Interfaces.ChartPointsCollectionUpdateData,"An interface for updating data on the ChartPointsCollection object, for use in chartPointsCollection.set({ ... })."
Interfaces,Excel.Interfaces.ChartPointUpdateData,"An interface for updating data on the ChartPoint object, for use in chartPoint.set({ ... })."
Interfaces,Excel.Interfaces.ChartSeriesCollectionData,An interface describing the data returned by calling chartSeriesCollection.toJSON().
Interfaces,Excel.Interfaces.ChartSeriesCollectionLoadOptions,Represents a collection of chart series.
Interfaces,Excel.Interfaces.ChartSeriesCollectionUpdateData,"An interface for updating data on the ChartSeriesCollection object, for use in chartSeriesCollection.set({ ... })."
Interfaces,Excel.Interfaces.ChartSeriesData,An interface describing the data returned by calling chartSeries.toJSON().
Interfaces,Excel.Interfaces.ChartSeriesFormatData,An interface describing the data returned by calling chartSeriesFormat.toJSON().
Interfaces,Excel.Interfaces.ChartSeriesFormatLoadOptions,Encapsulates the format properties for the chart series
Interfaces,Excel.Interfaces.ChartSeriesFormatUpdateData,"An interface for updating data on the ChartSeriesFormat object, for use in chartSeriesFormat.set({ ... })."
Interfaces,Excel.Interfaces.ChartSeriesLoadOptions,Represents a series in a chart.
Interfaces,Excel.Interfaces.ChartSeriesUpdateData,"An interface for updating data on the ChartSeries object, for use in chartSeries.set({ ... })."
Interfaces,Excel.Interfaces.ChartTitleData,An interface describing the data returned by calling chartTitle.toJSON().
Interfaces,Excel.Interfaces.ChartTitleFormatData,An interface describing the data returned by calling chartTitleFormat.toJSON().
Interfaces,Excel.Interfaces.ChartTitleFormatLoadOptions,Provides access to the formatting options for a chart title.
Interfaces,Excel.Interfaces.ChartTitleFormatUpdateData,"An interface for updating data on the ChartTitleFormat object, for use in chartTitleFormat.set({ ... })."
