Interfaces,Interface Description
Excel.Interfaces.ConditionalRangeFillUpdateData,"An interface for updating data on the ConditionalRangeFill object, for use in conditionalRangeFill.set({ ... })."
Excel.Interfaces.ConditionalRangeFontData,An interface describing the data returned by calling conditionalRangeFont.toJSON().
Excel.Interfaces.ConditionalRangeFontLoadOptions,"This object represents the font attributes (font style, color, etc.) for an object."
Excel.Interfaces.ConditionalRangeFontUpdateData,"An interface for updating data on the ConditionalRangeFont object, for use in conditionalRangeFont.set({ ... })."
Excel.Interfaces.ConditionalRangeFormatData,An interface describing the data returned by calling conditionalRangeFormat.toJSON().
Excel.Interfaces.ConditionalRangeFormatLoadOptions,"A format object encapsulating the conditional formats range's font, fill, borders, and other properties."
Excel.Interfaces.ConditionalRangeFormatUpdateData,"An interface for updating data on the ConditionalRangeFormat object, for use in conditionalRangeFormat.set({ ... })."
Excel.Interfaces.CultureInfoData,An interface describing the data returned by calling cultureInfo.toJSON().
Excel.Interfaces.CultureInfoLoadOptions,"Provides information based on current system culture settings. This includes the culture names, number formatting, and other culturally dependent settings."
Excel.Interfaces.CustomConditionalFormatData,An interface describing the data returned by calling customConditionalFormat.toJSON().
Excel.Interfaces.CustomConditionalFormatLoadOptions,Represents a custom conditional format type.
Excel.Interfaces.CustomConditionalFormatUpdateData,"An interface for updating data on the CustomConditionalFormat object, for use in customConditionalFormat.set({ ... })."
Excel.Interfaces.CustomPropertyCollectionData,An interface describing the data returned by calling customPropertyCollection.toJSON().
Excel.Interfaces.CustomPropertyCollectionLoadOptions,Contains the collection of custom properties.
Excel.Interfaces.CustomPropertyCollectionUpdateData,"An interface for updating data on the CustomPropertyCollection object, for use in customPropertyCollection.set({ ... })."
Excel.Interfaces.CustomPropertyData,An interface describing the data returned by calling customProperty.toJSON().
Excel.Interfaces.CustomPropertyLoadOptions,Represents a custom property.
Excel.Interfaces.CustomPropertyUpdateData,"An interface for updating data on the CustomProperty object, for use in customProperty.set({ ... })."
Excel.Interfaces.CustomXmlPartCollectionData,An interface describing the data returned by calling customXmlPartCollection.toJSON().
Excel.Interfaces.CustomXmlPartCollectionLoadOptions,A collection of custom XML parts.
Excel.Interfaces.CustomXmlPartCollectionUpdateData,"An interface for updating data on the CustomXmlPartCollection object, for use in customXmlPartCollection.set({ ... })."
Excel.Interfaces.CustomXmlPartData,An interface describing the data returned by calling customXmlPart.toJSON().
Excel.Interfaces.CustomXmlPartLoadOptions,Represents a custom XML part object in a workbook.
Excel.Interfaces.CustomXmlPartScopedCollectionData,An interface describing the data returned by calling customXmlPartScopedCollection.toJSON().
Excel.Interfaces.CustomXmlPartScopedCollectionLoadOptions,"A scoped collection of custom XML parts. A scoped collection is the result of some operation (e.g., filtering by namespace). A scoped collection cannot be scoped any further."
Excel.Interfaces.CustomXmlPartScopedCollectionUpdateData,"An interface for updating data on the CustomXmlPartScopedCollection object, for use in customXmlPartScopedCollection.set({ ... })."
Excel.Interfaces.DataBarConditionalFormatData,An interface describing the data returned by calling dataBarConditionalFormat.toJSON().
Excel.Interfaces.DataBarConditionalFormatLoadOptions,Represents an Excel conditional data bar type.
Excel.Interfaces.DataBarConditionalFormatUpdateData,"An interface for updating data on the DataBarConditionalFormat object, for use in dataBarConditionalFormat.set({ ... })."
Excel.Interfaces.DataPivotHierarchyCollectionData,An interface describing the data returned by calling dataPivotHierarchyCollection.toJSON().
Excel.Interfaces.DataPivotHierarchyCollectionLoadOptions,Represents a collection of DataPivotHierarchy items associated with the PivotTable.
Excel.Interfaces.DataPivotHierarchyCollectionUpdateData,"An interface for updating data on the DataPivotHierarchyCollection object, for use in dataPivotHierarchyCollection.set({ ... })."
Excel.Interfaces.DataPivotHierarchyData,An interface describing the data returned by calling dataPivotHierarchy.toJSON().
Excel.Interfaces.DataPivotHierarchyLoadOptions,Represents the Excel DataPivotHierarchy.
Excel.Interfaces.DataPivotHierarchyUpdateData,"An interface for updating data on the DataPivotHierarchy object, for use in dataPivotHierarchy.set({ ... })."
Excel.Interfaces.DataValidationData,An interface describing the data returned by calling dataValidation.toJSON().
Excel.Interfaces.DataValidationLoadOptions,"Represents the data validation applied to the current range. To learn more about the data validation object model, read Add data validation to Excel ranges."
Excel.Interfaces.DataValidationUpdateData,"An interface for updating data on the DataValidation object, for use in dataValidation.set({ ... })."
Excel.Interfaces.DatetimeFormatInfoData,An interface describing the data returned by calling datetimeFormatInfo.toJSON().
Excel.Interfaces.DatetimeFormatInfoLoadOptions,Defines the culturally appropriate format of displaying numbers. This is based on current system culture settings.
Excel.Interfaces.DocumentPropertiesData,An interface describing the data returned by calling documentProperties.toJSON().
Excel.Interfaces.DocumentPropertiesLoadOptions,Represents workbook properties.
Excel.Interfaces.DocumentPropertiesUpdateData,"An interface for updating data on the DocumentProperties object, for use in documentProperties.set({ ... })."
Excel.Interfaces.DocumentTaskChangeCollectionData,An interface describing the data returned by calling documentTaskChangeCollection.toJSON().
Excel.Interfaces.DocumentTaskChangeCollectionLoadOptions,Represents a collection of change records for a task.
Excel.Interfaces.DocumentTaskChangeCollectionUpdateData,"An interface for updating data on the DocumentTaskChangeCollection object, for use in documentTaskChangeCollection.set({ ... })."
Excel.Interfaces.DocumentTaskChangeData,An interface describing the data returned by calling documentTaskChange.toJSON().
Excel.Interfaces.DocumentTaskChangeLoadOptions,Represents a recorded change to the task.
Excel.Interfaces.DocumentTaskCollectionData,An interface describing the data returned by calling documentTaskCollection.toJSON().
Excel.Interfaces.DocumentTaskCollectionLoadOptions,Represents a collection of tasks.
Excel.Interfaces.DocumentTaskCollectionUpdateData,"An interface for updating data on the DocumentTaskCollection object, for use in documentTaskCollection.set({ ... })."
Excel.Interfaces.DocumentTaskData,An interface describing the data returned by calling documentTask.toJSON().
Excel.Interfaces.DocumentTaskLoadOptions,Represents a task.
Excel.Interfaces.DocumentTaskUpdateData,"An interface for updating data on the DocumentTask object, for use in documentTask.set({ ... })."
Excel.Interfaces.FilterData,An interface describing the data returned by calling filter.toJSON().
Excel.Interfaces.FilterLoadOptions,Manages the filtering of a table's column.
Excel.Interfaces.FilterPivotHierarchyCollectionData,An interface describing the data returned by calling filterPivotHierarchyCollection.toJSON().
Excel.Interfaces.FilterPivotHierarchyCollectionLoadOptions,Represents a collection of FilterPivotHierarchy items associated with the PivotTable.
Excel.Interfaces.FilterPivotHierarchyCollectionUpdateData,"An interface for updating data on the FilterPivotHierarchyCollection object, for use in filterPivotHierarchyCollection.set({ ... })."
Excel.Interfaces.FilterPivotHierarchyData,An interface describing the data returned by calling filterPivotHierarchy.toJSON().
Excel.Interfaces.FilterPivotHierarchyLoadOptions,Represents the Excel FilterPivotHierarchy.
Excel.Interfaces.FilterPivotHierarchyUpdateData,"An interface for updating data on the FilterPivotHierarchy object, for use in filterPivotHierarchy.set({ ... })."
Excel.Interfaces.FormatProtectionData,An interface describing the data returned by calling formatProtection.toJSON().
Excel.Interfaces.FormatProtectionLoadOptions,Represents the format protection of a range object.
Excel.Interfaces.FormatProtectionUpdateData,"An interface for updating data on the FormatProtection object, for use in formatProtection.set({ ... })."
Excel.Interfaces.FunctionResultData,An interface describing the data returned by calling functionResult.toJSON().
Excel.Interfaces.FunctionResultLoadOptions,An object containing the result of a function-evaluation operation
Excel.Interfaces.GeometricShapeData,An interface describing the data returned by calling geometricShape.toJSON().
Excel.Interfaces.GeometricShapeLoadOptions,"Represents a geometric shape inside a worksheet. A geometric shape can be a rectangle, block arrow, equation symbol, flowchart item, star, banner, callout, or any other basic shape in Excel."
Excel.Interfaces.GroupShapeCollectionData,An interface describing the data returned by calling groupShapeCollection.toJSON().
Excel.Interfaces.GroupShapeCollectionLoadOptions,Represents the shape collection inside a shape group.
Excel.Interfaces.GroupShapeCollectionUpdateData,"An interface for updating data on the GroupShapeCollection object, for use in groupShapeCollection.set({ ... })."
Excel.Interfaces.HeaderFooterData,An interface describing the data returned by calling headerFooter.toJSON().
Excel.Interfaces.HeaderFooterGroupData,An interface describing the data returned by calling headerFooterGroup.toJSON().
Excel.Interfaces.HeaderFooterGroupUpdateData,"An interface for updating data on the HeaderFooterGroup object, for use in headerFooterGroup.set({ ... })."
Excel.Interfaces.HeaderFooterUpdateData,"An interface for updating data on the HeaderFooter object, for use in headerFooter.set({ ... })."
Excel.Interfaces.IconSetConditionalFormatData,An interface describing the data returned by calling iconSetConditionalFormat.toJSON().
Excel.Interfaces.IconSetConditionalFormatLoadOptions,Represents an icon set criteria for conditional formatting.
Excel.Interfaces.IconSetConditionalFormatUpdateData,"An interface for updating data on the IconSetConditionalFormat object, for use in iconSetConditionalFormat.set({ ... })."
Excel.Interfaces.ImageData,An interface describing the data returned by calling image.toJSON().
Excel.Interfaces.ImageLoadOptions,"Represents an image in the worksheet. To get the corresponding Shape object, use Image.shape."
Excel.Interfaces.IterativeCalculationData,An interface describing the data returned by calling iterativeCalculation.toJSON().
Excel.Interfaces.IterativeCalculationLoadOptions,Represents the iterative calculation settings.
Excel.Interfaces.IterativeCalculationUpdateData,"An interface for updating data on the IterativeCalculation object, for use in iterativeCalculation.set({ ... })."
Excel.Interfaces.LineData,An interface describing the data returned by calling line.toJSON().
Excel.Interfaces.LineLoadOptions,"Represents a line inside a worksheet. To get the corresponding Shape object, use Line.shape."
Excel.Interfaces.LineUpdateData,"An interface for updating data on the Line object, for use in line.set({ ... })."
Excel.Interfaces.LinkedDataTypeCollectionData,An interface describing the data returned by calling linkedDataTypeCollection.toJSON().
Excel.Interfaces.LinkedDataTypeCollectionLoadOptions,Represents a collection of linked data types.
Excel.Interfaces.LinkedDataTypeCollectionUpdateData,"An interface for updating data on the LinkedDataTypeCollection object, for use in linkedDataTypeCollection.set({ ... })."
Excel.Interfaces.LinkedDataTypeData,An interface describing the data returned by calling linkedDataType.toJSON().
Excel.Interfaces.LinkedDataTypeLoadOptions,Represents a linked data type. A linked data type is a data type connected to an online data source.
Excel.Interfaces.LinkedWorkbookCollectionData,An interface describing the data returned by calling linkedWorkbookCollection.toJSON().
Excel.Interfaces.LinkedWorkbookCollectionLoadOptions,Represents a collection of linked workbook objects.
Excel.Interfaces.LinkedWorkbookCollectionUpdateData,"An interface for updating data on the LinkedWorkbookCollection object, for use in linkedWorkbookCollection.set({ ... })."
Excel.Interfaces.LinkedWorkbookData,An interface describing the data returned by calling linkedWorkbook.toJSON().
Excel.Interfaces.LinkedWorkbookLoadOptions,"Contains information about a linked workbook. If a workbook has links pointing to data in another workbook, the second workbook is linked to the first workbook. In this scenario, the second workbook is called the ""linked workbook""."
Excel.Interfaces.NamedItemArrayValuesData,An interface describing the data returned by calling namedItemArrayValues.toJSON().
Excel.Interfaces.NamedItemArrayValuesLoadOptions,Represents an object containing values and types of a named item.
Excel.Interfaces.NamedItemCollectionData,An interface describing the data returned by calling namedItemCollection.toJSON().
Excel.Interfaces.NamedItemCollectionLoadOptions,"A collection of all the NamedItem objects that are part of the workbook or worksheet, depending on how it was reached."
Excel.Interfaces.NamedItemCollectionUpdateData,"An interface for updating data on the NamedItemCollection object, for use in namedItemCollection.set({ ... })."
Excel.Interfaces.NamedItemData,An interface describing the data returned by calling namedItem.toJSON().
Excel.Interfaces.NamedItemLoadOptions,"Represents a defined name for a range of cells or value. Names can be primitive named objects (as seen in the type below), range object, or a reference to a range. This object can be used to obtain range object associated with names."
Excel.Interfaces.NamedItemUpdateData,"An interface for updating data on the NamedItem object, for use in namedItem.set({ ... })."
Excel.Interfaces.NamedSheetViewCollectionData,An interface describing the data returned by calling namedSheetViewCollection.toJSON().
Excel.Interfaces.NamedSheetViewCollectionLoadOptions,Represents the collection of sheet views in the worksheet.
Excel.Interfaces.NamedSheetViewCollectionUpdateData,"An interface for updating data on the NamedSheetViewCollection object, for use in namedSheetViewCollection.set({ ... })."
Excel.Interfaces.NamedSheetViewData,An interface describing the data returned by calling namedSheetView.toJSON().
Excel.Interfaces.NamedSheetViewLoadOptions,"Represents a named sheet view of a worksheet. A sheet view stores the sort and filter rules for a particular worksheet. Every sheet view (even a temporary sheet view) has a unique, worksheet-scoped name that is used to access the view."
Excel.Interfaces.NamedSheetViewUpdateData,"An interface for updating data on the NamedSheetView object, for use in namedSheetView.set({ ... })."
Excel.Interfaces.NumberFormatInfoData,An interface describing the data returned by calling numberFormatInfo.toJSON().
Excel.Interfaces.NumberFormatInfoLoadOptions,Defines the culturally appropriate format of displaying numbers. This is based on current system culture settings.
Excel.Interfaces.PageBreakCollectionData,An interface describing the data returned by calling pageBreakCollection.toJSON().
Excel.Interfaces.PageBreakCollectionUpdateData,"An interface for updating data on the PageBreakCollection object, for use in pageBreakCollection.set({ ... })."
Excel.Interfaces.PageBreakData,An interface describing the data returned by calling pageBreak.toJSON().
Excel.Interfaces.PageLayoutData,An interface describing the data returned by calling pageLayout.toJSON().
Excel.Interfaces.PageLayoutLoadOptions,"Represents layout and print settings that are not dependent on any printer-specific implementation. These settings include margins, orientation, page numbering, title rows, and print area."
Excel.Interfaces.PageLayoutUpdateData,"An interface for updating data on the PageLayout object, for use in pageLayout.set({ ... })."
Excel.Interfaces.PivotFieldCollectionData,An interface describing the data returned by calling pivotFieldCollection.toJSON().
Excel.Interfaces.PivotFieldCollectionLoadOptions,Represents a collection of all the PivotFields that are part of a PivotTable's hierarchy.
Excel.Interfaces.PivotFieldCollectionUpdateData,"An interface for updating data on the PivotFieldCollection object, for use in pivotFieldCollection.set({ ... })."
Excel.Interfaces.PivotFieldData,An interface describing the data returned by calling pivotField.toJSON().
Excel.Interfaces.PivotFieldLoadOptions,Represents the Excel PivotField.
Excel.Interfaces.PivotFieldUpdateData,"An interface for updating data on the PivotField object, for use in pivotField.set({ ... })."
Excel.Interfaces.PivotHierarchyCollectionData,An interface describing the data returned by calling pivotHierarchyCollection.toJSON().
Excel.Interfaces.PivotHierarchyCollectionLoadOptions,Represents a collection of all the PivotHierarchies that are part of the PivotTable.
Excel.Interfaces.PivotHierarchyCollectionUpdateData,"An interface for updating data on the PivotHierarchyCollection object, for use in pivotHierarchyCollection.set({ ... })."
Excel.Interfaces.PivotHierarchyData,An interface describing the data returned by calling pivotHierarchy.toJSON().
Excel.Interfaces.PivotHierarchyLoadOptions,Represents the Excel PivotHierarchy.
Excel.Interfaces.PivotHierarchyUpdateData,"An interface for updating data on the PivotHierarchy object, for use in pivotHierarchy.set({ ... })."
Excel.Interfaces.PivotItemCollectionData,An interface describing the data returned by calling pivotItemCollection.toJSON().
Excel.Interfaces.PivotItemCollectionLoadOptions,Represents a collection of all the PivotItems related to their parent PivotField.
Excel.Interfaces.PivotItemCollectionUpdateData,"An interface for updating data on the PivotItemCollection object, for use in pivotItemCollection.set({ ... })."
Excel.Interfaces.PivotItemData,An interface describing the data returned by calling pivotItem.toJSON().
Excel.Interfaces.PivotItemLoadOptions,Represents the Excel PivotItem.
Excel.Interfaces.PivotItemUpdateData,"An interface for updating data on the PivotItem object, for use in pivotItem.set({ ... })."
Excel.Interfaces.PivotLayoutData,An interface describing the data returned by calling pivotLayout.toJSON().
Excel.Interfaces.PivotLayoutLoadOptions,Represents the visual layout of the PivotTable.
Excel.Interfaces.PivotLayoutUpdateData,"An interface for updating data on the PivotLayout object, for use in pivotLayout.set({ ... })."
Excel.Interfaces.PivotTableCollectionData,An interface describing the data returned by calling pivotTableCollection.toJSON().
Excel.Interfaces.PivotTableCollectionLoadOptions,Represents a collection of all the PivotTables that are part of the workbook or worksheet.
Excel.Interfaces.PivotTableCollectionUpdateData,"An interface for updating data on the PivotTableCollection object, for use in pivotTableCollection.set({ ... })."
Excel.Interfaces.PivotTableData,An interface describing the data returned by calling pivotTable.toJSON().
Excel.Interfaces.PivotTableLoadOptions,"Represents an Excel PivotTable. To learn more about the PivotTable object model, read Work with PivotTables using the Excel JavaScript API."
Excel.Interfaces.PivotTableScopedCollectionData,An interface describing the data returned by calling pivotTableScopedCollection.toJSON().
Excel.Interfaces.PivotTableScopedCollectionLoadOptions,Represents a scoped collection of PivotTables. The PivotTables are sorted based on the location of the PivotTable's top-left corner. They are ordered top-to-bottom and then left-to-right.
Excel.Interfaces.PivotTableScopedCollectionUpdateData,"An interface for updating data on the PivotTableScopedCollection object, for use in pivotTableScopedCollection.set({ ... })."
Excel.Interfaces.PivotTableStyleCollectionData,An interface describing the data returned by calling pivotTableStyleCollection.toJSON().
Excel.Interfaces.PivotTableStyleCollectionLoadOptions,Represents a collection of PivotTable styles.
Excel.Interfaces.PivotTableStyleCollectionUpdateData,"An interface for updating data on the PivotTableStyleCollection object, for use in pivotTableStyleCollection.set({ ... })."
Excel.Interfaces.PivotTableStyleData,An interface describing the data returned by calling pivotTableStyle.toJSON().
Excel.Interfaces.PivotTableStyleLoadOptions,"Represents a PivotTable style, which defines style elements by PivotTable region."
Excel.Interfaces.PivotTableStyleUpdateData,"An interface for updating data on the PivotTableStyle object, for use in pivotTableStyle.set({ ... })."
Excel.Interfaces.PivotTableUpdateData,"An interface for updating data on the PivotTable object, for use in pivotTable.set({ ... })."
Excel.Interfaces.PresetCriteriaConditionalFormatData,An interface describing the data returned by calling presetCriteriaConditionalFormat.toJSON().
Excel.Interfaces.PresetCriteriaConditionalFormatLoadOptions,"Represents the preset criteria conditional format such as above average, below average, unique values, contains blank, nonblank, error, and noerror."
Excel.Interfaces.PresetCriteriaConditionalFormatUpdateData,"An interface for updating data on the PresetCriteriaConditionalFormat object, for use in presetCriteriaConditionalFormat.set({ ... })."
Excel.Interfaces.QueryCollectionData,An interface describing the data returned by calling queryCollection.toJSON().
Excel.Interfaces.QueryCollectionLoadOptions,Represents the collection of queries in the workbook.
Excel.Interfaces.QueryCollectionUpdateData,"An interface for updating data on the QueryCollection object, for use in queryCollection.set({ ... })."
Excel.Interfaces.QueryData,An interface describing the data returned by calling query.toJSON().
Excel.Interfaces.QueryLoadOptions,Represents a Power Query query.
Excel.Interfaces.RangeAreasCollectionData,An interface describing the data returned by calling rangeAreasCollection.toJSON().
Excel.Interfaces.RangeAreasCollectionLoadOptions,Contains the collection of cross-workbook level ranges.
Excel.Interfaces.RangeAreasCollectionUpdateData,"An interface for updating data on the RangeAreasCollection object, for use in rangeAreasCollection.set({ ... })."
Excel.Interfaces.RangeAreasData,An interface describing the data returned by calling rangeAreas.toJSON().
Excel.Interfaces.RangeAreasLoadOptions,"RangeAreas represents a collection of one or more rectangular ranges in the same worksheet. To learn how to use discontiguous ranges, read Work with multiple ranges simultaneously in Excel add-ins."
Excel.Interfaces.RangeAreasUpdateData,"An interface for updating data on the RangeAreas object, for use in rangeAreas.set({ ... })."
Excel.Interfaces.RangeBorderCollectionData,An interface describing the data returned by calling rangeBorderCollection.toJSON().
Excel.Interfaces.RangeBorderCollectionLoadOptions,Represents the border objects that make up the range border.
Excel.Interfaces.RangeBorderCollectionUpdateData,"An interface for updating data on the RangeBorderCollection object, for use in rangeBorderCollection.set({ ... })."
Excel.Interfaces.RangeBorderData,An interface describing the data returned by calling rangeBorder.toJSON().
Excel.Interfaces.RangeBorderLoadOptions,Represents the border of an object.
Excel.Interfaces.RangeBorderUpdateData,"An interface for updating data on the RangeBorder object, for use in rangeBorder.set({ ... })."
Excel.Interfaces.RangeCollectionData,An interface describing the data returned by calling rangeCollection.toJSON().
Excel.Interfaces.RangeCollectionUpdateData,"An interface for updating data on the RangeCollection object, for use in rangeCollection.set({ ... })."
Excel.Interfaces.RangeData,An interface describing the data returned by calling range.toJSON().
Excel.Interfaces.RangeFillData,An interface describing the data returned by calling rangeFill.toJSON().
Excel.Interfaces.RangeFillLoadOptions,Represents the background of a range object.
Excel.Interfaces.RangeFillUpdateData,"An interface for updating data on the RangeFill object, for use in rangeFill.set({ ... })."
Excel.Interfaces.RangeFontData,An interface describing the data returned by calling rangeFont.toJSON().
Excel.Interfaces.RangeFontLoadOptions,"This object represents the font attributes (font name, font size, color, etc.) for an object."
Excel.Interfaces.RangeFontUpdateData,"An interface for updating data on the RangeFont object, for use in rangeFont.set({ ... })."
Excel.Interfaces.RangeFormatData,An interface describing the data returned by calling rangeFormat.toJSON().
Excel.Interfaces.RangeFormatLoadOptions,"A format object encapsulating the range's font, fill, borders, alignment, and other properties."
Excel.Interfaces.RangeFormatUpdateData,"An interface for updating data on the RangeFormat object, for use in rangeFormat.set({ ... })."
Excel.Interfaces.RangeLoadOptions,"Range represents a set of one or more contiguous cells such as a cell, a row, a column, or a block of cells. To learn more about how ranges are used throughout the API, start with Ranges in the Excel JavaScript API."
Excel.Interfaces.RangeUpdateData,"An interface for updating data on the Range object, for use in range.set({ ... })."
Excel.Interfaces.RangeViewCollectionData,An interface describing the data returned by calling rangeViewCollection.toJSON().
Excel.Interfaces.RangeViewCollectionLoadOptions,Represents a collection of RangeView objects.
Excel.Interfaces.RangeViewCollectionUpdateData,"An interface for updating data on the RangeViewCollection object, for use in rangeViewCollection.set({ ... })."
Excel.Interfaces.RangeViewData,An interface describing the data returned by calling rangeView.toJSON().
Excel.Interfaces.RangeViewLoadOptions,RangeView represents a set of visible cells of the parent range.
Excel.Interfaces.RangeViewUpdateData,"An interface for updating data on the RangeView object, for use in rangeView.set({ ... })."
Excel.Interfaces.RemoveDuplicatesResultData,An interface describing the data returned by calling removeDuplicatesResult.toJSON().
Excel.Interfaces.RemoveDuplicatesResultLoadOptions,Represents the results from Range.removeDuplicates.
Excel.Interfaces.RowColumnPivotHierarchyCollectionData,An interface describing the data returned by calling rowColumnPivotHierarchyCollection.toJSON().
Excel.Interfaces.RowColumnPivotHierarchyCollectionLoadOptions,Represents a collection of RowColumnPivotHierarchy items associated with the PivotTable.
Excel.Interfaces.RowColumnPivotHierarchyCollectionUpdateData,"An interface for updating data on the RowColumnPivotHierarchyCollection object, for use in rowColumnPivotHierarchyCollection.set({ ... })."
Excel.Interfaces.RowColumnPivotHierarchyData,An interface describing the data returned by calling rowColumnPivotHierarchy.toJSON().
Excel.Interfaces.RowColumnPivotHierarchyLoadOptions,Represents the Excel RowColumnPivotHierarchy.
Excel.Interfaces.RowColumnPivotHierarchyUpdateData,"An interface for updating data on the RowColumnPivotHierarchy object, for use in rowColumnPivotHierarchy.set({ ... })."
Excel.Interfaces.RuntimeData,An interface describing the data returned by calling runtime.toJSON().
Excel.Interfaces.RuntimeLoadOptions,Represents the Excel Runtime class.
Excel.Interfaces.RuntimeUpdateData,"An interface for updating data on the Runtime object, for use in runtime.set({ ... })."
Excel.Interfaces.SettingCollectionData,An interface describing the data returned by calling settingCollection.toJSON().
Excel.Interfaces.SettingCollectionLoadOptions,Represents a collection of key-value pair setting objects that are part of the workbook. The scope is limited to per file and add-in (task-pane or content) combination.
Excel.Interfaces.SettingCollectionUpdateData,"An interface for updating data on the SettingCollection object, for use in settingCollection.set({ ... })."
Excel.Interfaces.SettingData,An interface describing the data returned by calling setting.toJSON().
Excel.Interfaces.SettingLoadOptions,"Setting represents a key-value pair of a setting persisted to the document (per file, per add-in). These custom key-value pair can be used to store state or lifecycle information needed by the content or task-pane add-in. Note that settings are persisted in the document and hence it is not a place to store any sensitive or protected information such as user information and password."
Excel.Interfaces.SettingUpdateData,"An interface for updating data on the Setting object, for use in setting.set({ ... })."
Excel.Interfaces.ShapeCollectionData,An interface describing the data returned by calling shapeCollection.toJSON().
Excel.Interfaces.ShapeCollectionLoadOptions,Represents a collection of all the shapes in the worksheet.
Excel.Interfaces.ShapeCollectionUpdateData,"An interface for updating data on the ShapeCollection object, for use in shapeCollection.set({ ... })."
Excel.Interfaces.ShapeData,An interface describing the data returned by calling shape.toJSON().
Excel.Interfaces.ShapeFillData,An interface describing the data returned by calling shapeFill.toJSON().
Excel.Interfaces.ShapeFillLoadOptions,Represents the fill formatting of a shape object.
Excel.Interfaces.ShapeFillUpdateData,"An interface for updating data on the ShapeFill object, for use in shapeFill.set({ ... })."
Excel.Interfaces.ShapeFontData,An interface describing the data returned by calling shapeFont.toJSON().
Excel.Interfaces.ShapeFontLoadOptions,"Represents the font attributes, such as font name, font size, and color, for a shape's TextRange object."
Excel.Interfaces.ShapeFontUpdateData,"An interface for updating data on the ShapeFont object, for use in shapeFont.set({ ... })."
Excel.Interfaces.ShapeGroupData,An interface describing the data returned by calling shapeGroup.toJSON().
Excel.Interfaces.ShapeGroupLoadOptions,"Represents a shape group inside a worksheet. To get the corresponding Shape object, use ShapeGroup.shape."
Excel.Interfaces.ShapeLineFormatData,An interface describing the data returned by calling shapeLineFormat.toJSON().
Excel.Interfaces.ShapeLineFormatLoadOptions,"Represents the line formatting for the shape object. For images and geometric shapes, line formatting represents the border of the shape."
Excel.Interfaces.ShapeLineFormatUpdateData,"An interface for updating data on the ShapeLineFormat object, for use in shapeLineFormat.set({ ... })."
Excel.Interfaces.ShapeLoadOptions,"Represents a generic shape object in the worksheet. A shape could be a geometric shape, a line, a group of shapes, etc. To learn more about the shape object model, read Work with shapes using the Excel JavaScript API."
Excel.Interfaces.ShapeUpdateData,"An interface for updating data on the Shape object, for use in shape.set({ ... })."
Excel.Interfaces.SlicerCollectionData,An interface describing the data returned by calling slicerCollection.toJSON().
Excel.Interfaces.SlicerCollectionLoadOptions,Represents a collection of all the slicer objects in the workbook or a worksheet.
Excel.Interfaces.SlicerCollectionUpdateData,"An interface for updating data on the SlicerCollection object, for use in slicerCollection.set({ ... })."
Excel.Interfaces.SlicerData,An interface describing the data returned by calling slicer.toJSON().
Excel.Interfaces.SlicerItemCollectionData,An interface describing the data returned by calling slicerItemCollection.toJSON().
Excel.Interfaces.SlicerItemCollectionLoadOptions,Represents a collection of all the slicer item objects in the slicer.
Excel.Interfaces.SlicerItemCollectionUpdateData,"An interface for updating data on the SlicerItemCollection object, for use in slicerItemCollection.set({ ... })."
Excel.Interfaces.SlicerItemData,An interface describing the data returned by calling slicerItem.toJSON().
Excel.Interfaces.SlicerItemLoadOptions,Represents a slicer item in a slicer.
Excel.Interfaces.SlicerItemUpdateData,"An interface for updating data on the SlicerItem object, for use in slicerItem.set({ ... })."
Excel.Interfaces.SlicerLoadOptions,Represents a Slicer object in the workbook.
Excel.Interfaces.SlicerStyleCollectionData,An interface describing the data returned by calling slicerStyleCollection.toJSON().
Excel.Interfaces.SlicerStyleCollectionLoadOptions,Represents a collection of SlicerStyle objects.
Excel.Interfaces.SlicerStyleCollectionUpdateData,"An interface for updating data on the SlicerStyleCollection object, for use in slicerStyleCollection.set({ ... })."
Excel.Interfaces.SlicerStyleData,An interface describing the data returned by calling slicerStyle.toJSON().
Excel.Interfaces.SlicerStyleLoadOptions,"Represents a slicer style, which defines style elements by region of the slicer."
Excel.Interfaces.SlicerStyleUpdateData,"An interface for updating data on the SlicerStyle object, for use in slicerStyle.set({ ... })."
Excel.Interfaces.SlicerUpdateData,"An interface for updating data on the Slicer object, for use in slicer.set({ ... })."
Excel.Interfaces.StyleCollectionData,An interface describing the data returned by calling styleCollection.toJSON().
Excel.Interfaces.StyleCollectionLoadOptions,Represents a collection of all the styles.
Excel.Interfaces.StyleCollectionUpdateData,"An interface for updating data on the StyleCollection object, for use in styleCollection.set({ ... })."
Excel.Interfaces.StyleData,An interface describing the data returned by calling style.toJSON().
Excel.Interfaces.StyleLoadOptions,An object encapsulating a style's format and other properties.
Excel.Interfaces.StyleUpdateData,"An interface for updating data on the Style object, for use in style.set({ ... })."
Excel.Interfaces.TableCollectionData,An interface describing the data returned by calling tableCollection.toJSON().
Excel.Interfaces.TableCollectionLoadOptions,"Represents a collection of all the tables that are part of the workbook or worksheet, depending on how it was reached."
Excel.Interfaces.TableCollectionUpdateData,"An interface for updating data on the TableCollection object, for use in tableCollection.set({ ... })."
Excel.Interfaces.TableColumnCollectionData,An interface describing the data returned by calling tableColumnCollection.toJSON().
Excel.Interfaces.TableColumnCollectionLoadOptions,Represents a collection of all the columns that are part of the table.
